"area","bacia","capacidade","data_informacao","estado","fonte","hectares","id","municipio","nome","nome_sem_acento","perimetro","reservat","reservat_sem_acento","tipo","uf","volume","volume_percentual"
7380225.21,"Peixe",80.22,2017-03-17,"PARAÍBA","AESA",738.02,12246,"Cajazeiras / Bom Jesus","Lagoa do Arroz","Lagoa do Arroz",54234.73,"Açude Lagoa do Arroz","Acude Lagoa do Arroz","reservatorio","PB",9.48,11.8
4417478.15,"Brígida",22.95,2017-03-03,"PERNAMBUCO","ANA",441.75,12247,"Araripina","Lagoa do Barro","Lagoa do Barro",19350.05,"Açude Lagoa do Barro","Acude Lagoa do Barro","reservatorio","PE",0.03,0.1
2558607.69,"Boqueirão",11.07,2017-03-17,"RIO GRANDE DO NORTE","GOVERNO RN",255.86,12249,"Touros","Lagoa do Boqueirão","Lagoa do Boqueirao",16730.06,"Lagoa do Boqueirão","Lagoa do Boqueirao","reservatorio","RN",7.99,72.2
0,"Mamanguape",1.24,2017-02-15,"PARAÍBA","AESA",7.04,12250,"Bananeiras","Lagoa do Matias","Lagoa do Matias",978.72,"Açude Lagoa do Matias","Acude Lagoa do Matias","reservatorio","PB",0.21,17.1
2010832.72,"Taperoá",6.65,2017-02-21,"PARAÍBA","AESA",201.08,12251,"Taperoá","Lagoa do Meio","Lagoa do Meio",15536.85,"Açude Lagoa do Meio","Acude Lagoa do Meio","reservatorio","PB",0.21,3.2
207307.53,"São Francisco",1.61,2016-12-30,"SERGIPE","ANA",20.73,12252,"Porto da Folha","Lagoa do Rancho","Lagoa do Rancho",4132.02,"Açude Lagoa do Rancho","Acude Lagoa do Rancho","reservatorio","SE",0.34,21
0,"Pajeu",1.1,2017-02-24,"PERNAMBUCO","ANA",4.91,12253,"Afogados da Ingazeira","Laje de Gato","Laje de Gato",1952.58,"Açude Laje de Gato","Acude Laje de Gato","reservatorio","PE",0,0
11857007.39,"Salgado",66.38,2017-03-18,"CEARÁ","ANA",1185.7,12254,"Icó / Orós","Lima Campos","Lima Campos",47891.5,"Açude Lima Campos","Acude Lima Campos","reservatorio","CE",6.34,9.6
538787.65,"Taperoá",2.43,2017-03-17,"PARAÍBA","AESA",53.88,12255,"Livramento","Livramento (Russos)","Livramento (Russos)",5621.15,"Açude Livramento (Russos)","Acude Livramento (Russos)","reservatorio","PB",0.37,15.1
1931879.91,"Brígida",23.94,2017-01-24,"PERNAMBUCO","ANA",193.19,12256,"Bodocó / Ouricuri","Lopes II","Lopes II",11730.22,"Açude Lopes II","Acude Lopes II","reservatorio","PE",0.17,0.7
4113288.27,"Apodi/Mossoró",24.75,2017-03-10,"RIO GRANDE DO NORTE","ANA",411.33,12257,"Lucrécia / Frutuoso Gomes","Lucrécia","Lucrecia",19875.71,"Açude Lucrécia","Acude Lucrecia","reservatorio","RN",0,0
0,"Rio de Contas",105,2017-03-06,"BAHIA","ANA",774.83,12258,"Rio de Contas","Luís Vieira (Brumado)","Luis Vieira (Brumado)",35955.41,"Açude Engenheiro Luís Vieira (ex Brumado)","Acude Engenheiro Luis Vieira (ex Brumado)","reservatorio","BA",25.83,24.6
0,"Metropolitana",10.32,2017-03-18,"CEARÁ","ANA",211.68,12259,"Ibaretama","Macacos","Macacos",19394.07,"Açude Macacos","Acude Macacos","reservatorio","CE",0.43,4.2
274659.79,"Médio Jaguaribe",2.81,2017-03-16,"CEARÁ","ANA",27.47,12260,"Pereiro","Madeiro","Madeiro",2932.86,"Açude Madeiro","Acude Madeiro","reservatorio","CE",0,0
0,"Piancó",568,2017-03-18,"PARAÍBA","AESA",4375.42,12261,"Coremas / Aguiar / Igaracy","Mãe d'água","Mae d'agua",235450.72,"Açude Mãe d'água (Engenheiro Egberto da Cunha)","Acude Mae d'agua (Engenheiro Egberto da Cunha)","reservatorio","PB",26.21,4.6
352840.24,"Pajeu",1.5,2016-11-30,"PERNAMBUCO","ANA",35.28,12262,"Itapetim","Mãe d'água","Mae d'agua",3824.87,"Açude Mãe d'água","Acude Mae d'agua","reservatorio","PE",0.98,65.2
196690.79,"São Francisco",0.3,2015-03-18,"ALAGOAS","ANA",19.67,12263,"Major Isidoro / Cacimbinhas","Major Izidoro","Major Izidoro",3003.81,"Açude Major Izidoro","Acude Major Izidoro","reservatorio","AL",0.1,33.3
7064961.17,"Metropolitana",37.84,2017-03-18,"CEARÁ","ANA",706.5,12264,"Cascavel","Malcozinhado","Malcozinhado",39584.28,"Açude Malcozinhado","Acude Malcozinhado","reservatorio","CE",3.05,8.1
2246165.29,"Apodi/Mossoró",7.54,2017-03-16,"RIO GRANDE DO NORTE","GOVERNO RN",224.62,12265,"Severiano Melo","Malhada Vermelha","Malhada Vermelha",14580.03,"Açude Malhada Vermelha","Acude Malhada Vermelha","reservatorio","RN",0.43,5.8
0,"Canindé",2.08,2017-02-20,"PIAUÍ","ANA",21.59,12266,"Dirceu Arcoverde","Malhadinha","Malhadinha",4723.99,"Açude Dirceu Arcoverde","Acude Dirceu Arcoverde","reservatorio","PI",0.6,28.9
NA,"Alto Jaguaribe",20.68,2017-03-18,"CEARÁ","ANA",NA,12267,"Antonina do Norte","Mamoeiro","Mamoeiro",NA,"Açude Mamoeiro","Acude Mamoeiro","reservatorio","CE",5.93,28.7
1863525.94,"Salgado",37.18,2017-03-17,"CEARÁ","ANA",186.35,12268,"Caririaçu","Manoel Balbino","Manoel Balbino",24418.19,"Açude Manoel Balbino (Riacho dos Carneiros)","Acude Manoel Balbino (Riacho dos Carneiros)","reservatorio","CE",1.92,5.2
258639.58,"São Francisco",1.61,2015-03-18,"ALAGOAS","ANA",25.86,12269,"Maravilha","Maravilha","Maravilha",3770.73,"Açude Maravilha","Acude Maravilha","reservatorio","AL",1.05,65.2
2563277.71,"Apodi/Mossoró",11.2,2017-03-07,"RIO GRANDE DO NORTE","ANA",256.33,12270,"Marcelino Vieira","Marcelino Vieira","Marcelino Vieira",16466.07,"Açude Marcelino Vieira (Caiçara)","Acude Marcelino Vieira (Caicara)","reservatorio","RN",0,0
7642061.93,"Piranhas/Assu",44.42,2017-03-03,"RIO GRANDE DO NORTE","GOVERNO RN",764.21,12271,"Acari","Marechal Dutra","Marechal Dutra",35373.25,"Açude Marechal Dutra (Gargalheiras)","Acude Marechal Dutra (Gargalheiras)","reservatorio","RN",0.13,0.3
2942277.7,"Moxotó",21.62,2017-03-15,"PERNAMBUCO","ANA",294.23,12273,"Custódia","Marrecas/Custódia","Marrecas/Custodia",16771.12,"Açude Custódia","Acude Custodia","reservatorio","PE",0,0
0,"Mamanguape",0.6,2016-12-12,"PARAÍBA","ANA",61.89,12275,"Massaranduba","Massaranduba","Massaranduba",11261.28,"Açude Massaranduba","Acude Massaranduba","reservatorio","PB",0.13,21.7
10598674.56,"Piranhas/Assu",76.35,2017-03-17,"RIO GRANDE DO NORTE","GOVERNO RN",1059.87,12277,"Açu","Mendubim","Mendubim",60443.61,"Açude Mendubim","Acude Mendubim","reservatorio","RN",30.53,40
194559.74,"Médio Paraíba",0.8,2017-01-26,"PARAÍBA","ANA",19.46,12278,"Puxinanã","Milhã (Evaldo Gonçalves)","Milha (Evaldo Goncalves)",3678.16,"Açude do Milhã (Evaldo Gonçalves)","Acude do Milha (Evaldo Goncalves)","reservatorio","PB",0,0
0,"São Francisco",158,2017-03-02,"BAHIA","ANA",616.82,12279,"Ibipeba / Gentio do Ouro","Mirorós (Manoel Novais)","Miroros (Manoel Novais)",29406.09,"Barragem de Mirorós","Barragem de Miroros","reservatorio","BA",26.99,17.1
NA,"LITORAL",65.3,2017-03-17,"CEARÁ","ANA",NA,12280,"Miraíma","Missi","Missi",NA,"Açude Missi","Acude Missi","reservatorio","CE",6.52,10
0,"Banabuiú",12.1,2017-03-18,"CEARÁ","ANA",146.86,12281,"Monsenhor Tabosa","Monsenhor Tabosa","Monsenhor Tabosa",15822.65,"Açude Monsenhor Tabosa","Acude Monsenhor Tabosa","reservatorio","CE",0.43,3.6
1972425.27,"Apodi/Mossoró",6.71,2017-03-08,"RIO GRANDE DO NORTE","ANA",197.24,12282,"Augusto Severo","Morcego","Morcego",15199.58,"Açude Morcego","Acude Morcego","reservatorio","RN",1,14.9
398930.82,"Ipanema",2.93,2017-03-15,"PERNAMBUCO","ANA",39.89,12283,"Pedra","Mororó","Mororo",3849.18,"Açude Mororó","Acude Mororo","reservatorio","PE",0,0
592934.41,"Rio de Contas",3.11,2017-03-06,"BAHIA","ANA",59.29,12284,"Poções","Morrinhos","Morrinhos",7733.52,"Açude Morrinhos","Acude Morrinhos","reservatorio","BA",1.44,46.3
6071828.14,"Taperoá",25.37,2017-03-18,"PARAÍBA","AESA",607.18,12285,"Taperoá / Juazeirinho / Assunção","Mucutu","Mucutu",45299.46,"Açude Mucutu","Acude Mucutu","reservatorio","PB",0.21,0.8
0,"Ipanema",1.28,2017-03-15,"PERNAMBUCO","ANA",6.66,12286,"Buíque","Mulungu","Mulungu",1489.51,"Açude Mulungu","Acude Mulungu","reservatorio","PE",0,0
0,"Litoral",21.3,2017-03-18,"CEARÁ","ANA",105.85,12287,"Uruburetama","Mundaú","Mundau",6558.71,"Açude Mundaú","Acude Mundau","reservatorio","CE",6.98,32.8
1611740.54,"Piranhas/Assu",3.6,2016-10-27,"RIO GRANDE DO NORTE","ANA",161.17,12288,"Caicó","Mundo Novo","Mundo Novo",10339.15,"Açude Mundo Novo","Acude Mundo Novo","reservatorio","RN",0,0
3853986.63,"Alto Jaguaribe",47.64,2017-03-18,"CEARÁ","ANA",385.4,12289,"Cariús","Muquém","Muquem",45093.97,"Açude Muquém","Acude Muquem","reservatorio","CE",5.79,12.2
222107.35,"Taperoá",2.12,2017-03-09,"PARAÍBA","AESA",22.21,12290,"São João do Cariri","Namorado","Namorado",2576.52,"Açude Namorado","Acude Namorado","reservatorio","PB",0.04,2
4229260.73,"Terra Nova",22.71,2017-03-03,"PERNAMBUCO","ANA",422.93,12291,"Terra Nova / Cabrobó","Nilo Coelho","Nilo Coelho",31029.57,"Açude Nilo Coelho","Acude Nilo Coelho","reservatorio","PE",0.05,0.2
0,"Canindé",9.02,2017-02-20,"PIAUÍ","ANA",177,12292,"Dom Inocêncio","Nonato","Nonato",19056.37,"Barragem do Oiti","Barragem do Oiti","reservatorio","PI",7,77.6
1606247.52,"Médio Jaguaribe",5.19,2017-03-16,"CEARÁ","ANA",160.62,12293,"Jaguaribe / Solonópole","Nova Floresta","Nova Floresta",13534.02,"Açude Nova Floresta","Acude Nova Floresta","reservatorio","CE",0,0
232288.54,"Piancó",0.71,2017-03-09,"PARAÍBA","AESA",23.23,12294,"Tavares","Novo II","Novo II",4000.56,"Açude Novo II","Acude Novo II","reservatorio","PB",0,0
360092.54,"Capibaribe",3.02,2016-01-23,"PERNAMBUCO","ANA",36.01,12295,"Brejo da Madre de Deus","Oitis","Oitis",4393.93,"Barragem Oitis","Barragem Oitis","reservatorio","PE",0.2,6.7
1469248.63,"Salgado",21,2017-03-18,"CEARÁ","ANA",146.92,12297,"Várzea Alegre","Olho d'água","Olho d'agua",14597.63,"Açude Olho d'água","Acude Olho d'agua","reservatorio","CE",5.15,24.5
909138.82,"Taperoá",5.88,2017-01-25,"PARAÍBA","ANA",90.91,12298,"Olivedos","Olivedos","Olivedos",8061.83,"Açude Olivedos","Acude Olivedos","reservatorio","PB",0.02,0.3
192705253.71,"Alto Jaguaribe",1940,2017-03-18,"CEARÁ","ANA",19270.53,12299,"Orós / Quixelô / Iguatu","Orós","Oros",526202.05,"Açude Orós (Presidente Juscelino Kubitschek de Oliveira) (PCH Orós)","Acude Oros (Presidente Juscelino Kubitschek de Oliveira) (PCH Oros)","reservatorio","CE",190.95,9.8
0,"Alto Paraíba",1.68,2017-03-15,"PARAÍBA","AESA",43.26,12300,"Ouro Velho","Ouro Velho","Ouro Velho",6254.06,"Açude Ouro Velho","Acude Ouro Velho","reservatorio","PB",0.01,0.5
1304635.84,"Metropolitana",240,2017-03-18,"CEARÁ","ANA",130.46,12301,"Pacajus","Pacajus","Pacajus",11488.28,"Açude Pacajus","Acude Pacajus","reservatorio","CE",41.16,17.2
26675031.01,"Metropolitana",380,2017-03-18,"CEARÁ","ANA",2667.5,12302,"Horizonte / Itaitinga","Pacoti","Pacoti",96763.32,"Açude Pacoti","Acude Pacoti","reservatorio","CE",68.55,18
406083.21,"São Francisco",2.12,2015-03-18,"ALAGOAS / PERNAMBUCO","ANA",40.61,12303,"Dois Riachos / Iati","Pai Mané","Pai Mane",5371.12,"Barragem Pai Mané","Barragem Pai Mane","reservatorio","AL / PE",1.06,50
1398097.4,"Coruripe",3.74,2015-03-18,"ALAGOAS","ANA",139.81,12304,"Igaci","Palmeira dos Índios","Palmeira dos Indios",13711.1,"Açude Palmeira dos Índios (ex Coruripe)","Acude Palmeira dos Indios (ex Coruripe)","reservatorio","AL",3.36,89.8
0,"Goiana",6.5,2017-01-26,"PERNAMBUCO","ANA",44.32,12305,"Bom Jardim / Machados","Palmeirinha","Palmeirinha",5506.23,"Açude Palmeirinha","Acude Palmeirinha","reservatorio","PE",2.9,44.7
2979192.77,"Ipojuca",34.23,2016-08-01,"PERNAMBUCO","ANA",297.92,12306,"Poção / Pesqueira","Pão de Açúcar","Pao de Acucar",17885.88,"Barragem de Pão de Açúcar","Barragem de Pao de Acucar","reservatorio","PE",0.75,2.2
1613257.8,"Peixe",5.34,2017-03-17,"PARAÍBA","AESA",161.33,12307,"São Francisco / Santa Cruz","Paraíso (Luiz Oliveira)","Paraiso (Luiz Oliveira)",15580.54,"Açude Paraíso (Luiz Oliveira)","Acude Paraiso (Luiz Oliveira)","reservatorio","PB",0.73,13.6
1625916.75,"Alto Jaguaribe",8.53,2017-03-18,"CEARÁ","ANA",162.59,12308,"Parambu","Parambu","Parambu",20885.91,"Açude Parambu","Acude Parambu","reservatorio","CE",0.11,1.3
0,"São Francisco",1.27,2017-03-08,"ALAGOAS","ANA",12.76,12309,"Pariconha","Pariconha","Pariconha",1857.67,"Açude Pariconha","Acude Pariconha","reservatorio","AL",0.7,55.1
2511435.62,"Apodi/Mossoró",8.27,2017-03-08,"RIO GRANDE DO NORTE","GOVERNO RN",251.14,12310,"Rodolfo Fernandes","Passagem","Passagem",18641.49,"Açude Passagem","Acude Passagem","reservatorio","RN",0.85,10.3
9443256.63,"Piranhas/Assu",49.7,2017-03-16,"RIO GRANDE DO NORTE","GOVERNO RN",944.33,12311,"São José do Seridó","Passagem das Traíras","Passagem das Trairas",62876.19,"Açude Passagem das Traíras","Acude Passagem das Trairas","reservatorio","RN",0.27,0.6
4706708.82,"Piranhas/Assu",15.02,2017-03-17,"RIO GRANDE DO NORTE","GOVERNO RN",470.67,12312,"Ipanguaçu","Pataxós","Pataxos",29502.25,"Açude Pataxós","Acude Pataxos","reservatorio","RN",15.02,100
0,"Litoral",7.55,2017-03-18,"CEARÁ","ANA",141.32,12313,"Sobral","Patos","Patos",12739.73,"Açude Patos","Acude Patos","reservatorio","CE",1.97,26.1
5685654.4,"Banabuiú",71.83,2017-03-16,"CEARÁ","ANA",568.57,12314,"Senador Pompeu","Patu","Patu",51666.87,"Açude do Patu","Acude do Patu","reservatorio","CE",1.47,2
365398.16,"Pontal",3,2015-01-05,"PERNAMBUCO","ANA",36.54,12315,"Afrânio","Pau Branco","Pau Branco",3242.32,"Açude Pau Branco","Acude Pau Branco","reservatorio","PE",0,0
10955714.43,"Apodi/Mossoró",55.9,2017-03-07,"RIO GRANDE DO NORTE","ANA",1095.57,12316,"Pau dos Ferros / Rafael Fernandes / Marcelino Vieira","Pau dos Ferros","Pau dos Ferros",56138.14,"Açude Pau dos Ferros","Acude Pau dos Ferros","reservatorio","RN",0,0
0,"Alto Jaguaribe",1.81,2017-03-09,"CEARÁ","ANA",73.97,12318,"Potengi","Pau Preto","Pau Preto",9892.98,"Açude Pau Preto","Acude Pau Preto","reservatorio","CE",0.06,3.3
76196994.48,"Contas",1640,2017-03-06,"BAHIA","ANA",7619.7,12320,"Jequié / Manoel Vitorino / Maracás","Pedra","Pedra",210256.92,"UHE Pedra","UHE Pedra","reservatorio","BA",682,41.6
20954799.38,"Canindé",216,2017-02-20,"PIAUÍ","ANA",2095.48,12321,"São Francisco de Assis do Piauí / Jacobina do Piauí / Paulistana","Pedra Redonda","Pedra Redonda",145759.33,"Açude Pedra Redonda","Acude Pedra Redonda","reservatorio","PI",183,84.7
4567402.78,"Itapicuru",38.45,2016-11-28,"BAHIA","ANA",456.74,12322,"Jacobina / Caém","Pedras Altas","Pedras Altas",27028.25,"Barragem de Pedras Altas","Barragem de Pedras Altas","reservatorio","BA",16.34,42.5
39606934.23,"Banabuiú",434.04,2017-03-18,"CEARÁ","ANA",3960.69,12323,"Quixadá","Pedras Brancas","Pedras Brancas",194615.24,"Açude Vinicius Barreto (ex Pedra Branca)","Acude Vinicius Barreto (ex Pedra Branca)","reservatorio","CE",34.37,7.9
0,"Metropolitana",2.41,2017-03-18,"CEARÁ","ANA",42.68,12324,"Maranguape","Penedo","Penedo",5592.41,"Açude Penedo","Acude Penedo","reservatorio","CE",0.31,12.9
0,"Curu",360,2017-03-17,"CEARÁ","ANA",3764.37,12325,"Pentecoste / Apuiarés","Pentecoste","Pentecoste",175853.98,"Açude Pereira de Miranda (Pentecoste)","Acude Pereira de Miranda (Pentecoste)","reservatorio","CE",0.65,0.2
0,"Metropolitana",9.03,2017-03-17,"CEARÁ","ANA",50.36,12326,"Capistrano / Aratuba","Pesqueiro","Pesqueiro",8880.45,"Açude Pesqueiro","Acude Pesqueiro","reservatorio","CE",0.46,5.1
0,"Canindé",181.25,2017-02-20,"PIAUÍ","ANA",2160.86,12327,"São Raimundo Nonato","Petrônio Portela","Petronio Portela",177587.37,"Açude Petrônio Portela","Acude Petronio Portela","reservatorio","PI",15,8.3
0,"Canindé",104.51,2017-02-20,"PIAUÍ","ANA",375.38,12328,"São Julião","Piaus","Piaus",47065.36,"Açude Piaus","Acude Piaus","reservatorio","PI",5.5,5.3
990585.32,"Apodi/Mossoró",5.9,2017-03-07,"RIO GRANDE DO NORTE","ANA",99.06,12329,"Pilões","Pilões","Piloes",11681.9,"Açude Pilões","Acude Piloes","reservatorio","RN",0,0
4897343.86,"Peixe",13,2017-03-17,"PARAÍBA","AESA",489.73,12330,"São João do Rio do Peixe / Triunfo","Pilões","Piloes",12823.78,"Açude Pilões","Acude Piloes","reservatorio","PB",2.99,23
0,"Piancó",0.26,2017-03-17,"PARAÍBA","AESA",19.57,12331,"São José de Caiana","Pimenta","Pimenta",6718.32,"Açude Pimenta","Acude Pimenta","reservatorio","PB",0.04,14.6
0,"Itapicuru",16.88,2016-11-28,"BAHIA","ANA",152.37,12332,"Pindobaçu","Pindobaçu","Pindobacu",18384.67,"Açude Pindobaçu","Acude Pindobacu","reservatorio","BA",15.06,89.2
3120034.3,"São Francisco",15.22,2017-03-06,"BAHIA","ANA",312,12333,"Curaçá / Juazeiro","Pinhões","Pinhoes",17152.75,"Açude Pinhões","Acude Pinhoes","reservatorio","BA",3.88,25.5
6817982.51,"Banabuiú",74,2017-03-18,"CEARÁ","ANA",681.8,12334,"Madalena / Quixeramobim","Pirabibu","Pirabibu",38463.15,"Açude Pirabibu","Acude Pirabibu","reservatorio","CE",0.91,1.2
1902062.79,"Piancó",25.7,2017-03-17,"PARAÍBA","AESA",190.21,12335,"Ibiara","Piranhas","Piranhas",21084.1,"Açude Piranhas","Acude Piranhas","reservatorio","PB",3.09,12
2106550.4,"Alto Paraíba",6.79,2017-03-18,"PARAÍBA","AESA",210.66,12339,"Monteiro","Pocinhos","Pocinhos",16155.55,"Açude Pocinhos","Acude Pocinhos","reservatorio","PB",0.02,0.2
10980889.51,"Ceará-Mirim",135.16,2017-02-24,"RIO GRANDE DO NORTE","ANA",1098.09,12340,"Poço Branco / Bento Fernandes","Poço Branco (José Batista do Rego Pereira)","Poco Branco (Jose Batista do Rego Pereira)",61981.72,"Açude Poço Branco (José Batista do Rego Pereira)","Acude Poco Branco (Jose Batista do Rego Pereira)","reservatorio","RN",9.28,6.9
8222671.28,"Alto Jaguaribe",52,2017-03-18,"CEARÁ","ANA",822.27,12341,"Campos Sales","Poço da Pedra","Poco da Pedra",56292.92,"Açude Poço da Pedra","Acude Poco da Pedra","reservatorio","CE",0.05,0.1
0,"São Francisco",0.72,2015-03-18,"ALAGOAS","ANA",4.42,12342,"Poço das Trincheiras","Poço das Trincheiras","Poco das Trincheiras",1111.1,"Açude Poço das Trincheiras","Acude Poco das Trincheiras","reservatorio","AL",0.18,25
7829312.58,"Banabuiú",52,2017-03-02,"CEARÁ","ANA",782.93,12343,"Morada Nova","Poço do Barro","Poco do Barro",56682.44,"Açude Poço do Barro","Acude Poco do Barro","reservatorio","CE",0.69,1.3
0,"São Francisco",32,2017-03-03,"BAHIA","ANA",175.68,12344,"Guanambi","Poço do Magro","Poco do Magro",13850.14,"Barragem Poço do Magro","Barragem Poco do Magro","reservatorio","BA",28.65,89.5
2111401.83,"Capibaribe",27.75,2017-03-03,"PERNAMBUCO","ANA",211.14,12345,"Santa Cruz do Capibaribe / Brejo da Madre de Deus","Poço Fundo","Poco Fundo",23217.76,"Açude Poço Fundo","Acude Poco Fundo","reservatorio","PE",0,0
0,"Terra Nova",3.92,2015-12-23,"PERNAMBUCO","ANA",2.62,12346,"Salgueiro / Serrita","Poço Grande","Poco Grande",2279.05,"Açude Poço Grande","Acude Poco Grande","reservatorio","PE",1.18,30
1685815.77,"Piancó",8.93,2017-03-15,"PARAÍBA","AESA",168.58,12347,"Santana de Mangueira","Poço Redondo","Poco Redondo",25613.15,"Açude Poço Redondo","Acude Poco Redondo","reservatorio","PB",1.79,20.1
0,"Litoral",13.65,2017-03-16,"CEARÁ","ANA",320.27,12348,"Itapipoca","Poço Verde","Poco Verde",11943.14,"Açude Poço Verde","Acude Poco Verde","reservatorio","CE",4.67,34.2
6638447.06,"Alto Paraíba",29.86,2017-03-18,"PARAÍBA","AESA",663.84,12349,"Monteiro","Poções","Pocoes",37618.67,"Açude Poções","Acude Pocoes","reservatorio","PB",1.21,4
0,"Canindé",0.91,2017-02-20,"PIAUÍ","ANA",510.68,12350,"Rio Grande do Piauí / Itaueira","Poços","Pocos",18454.32,"Barragem Poços","Barragem Pocos","reservatorio","PI",0.3,32.9
876467.94,"Curimataú",7.93,2016-12-13,"PARAÍBA","ANA",87.65,12351,"Barra de Santa Rosa","Poleiros","Poleiros",10868.93,"Açude Poleiros","Acude Poleiros","reservatorio","PB",0.1,1.3
8962166.4,"Metropolitana",143,2017-03-17,"CEARÁ","ANA",896.22,12352,"Choró","Pompeu Sobrinho","Pompeu Sobrinho",71048.33,"Açude Pompeu Sobrinho (Choró Limão)","Acude Pompeu Sobrinho (Choro Limao)","reservatorio","CE",11.16,7.8
0,"São Francisco",0.76,2015-03-18,"ALAGOAS","ANA",14.65,12353,"Girau do Ponciano","Ponciano","Ponciano",2132.07,"Açude Ponciano","Acude Ponciano","reservatorio","AL",0.46,60.5
6724380.56,"Itapicuru",38.94,2016-11-28,"BAHIA","ANA",672.44,12354,"Ponto Novo / Pindobaçu / Filadélfia","Ponto Novo","Ponto Novo",42190.08,"CGH Ponto Novo","CGH Ponto Novo","reservatorio","BA",14.2,36.5
1890739.18,"Médio Jaguaribe",6.33,2017-03-16,"CEARÁ","ANA",189.07,12355,"Potiretama","Potiretama","Potiretama",14500.92,"Açude Potiretama","Acude Potiretama","reservatorio","CE",0,0
370977.85,"Alto Paraíba",1.31,2017-01-26,"PARAÍBA","ANA",37.1,12357,"Prata","Prata II","Prata II",3961.95,"Açude da Prata II","Acude da Prata II","reservatorio","PB",0,0
2082321.59,"Salgado",32.5,2017-03-18,"CEARÁ","ANA",208.23,12358,"Barro","Prazeres","Prazeres",31413.06,"Açude Prazeres","Acude Prazeres","reservatorio","CE",3.75,11.5
0,"Litoral",4,2017-03-18,"CEARÁ","ANA",31.37,12360,"Itapipoca","Quandu","Quandu",7363.3,"Açude Quandu","Acude Quandu","reservatorio","CE",1.87,46.8
2313430.51,"Piancó",15.63,2017-03-15,"PARAÍBA","AESA",231.34,12361,"Santana dos Garrotes","Queimadas","Queimadas",32810.97,"Açude Queimadas","Acude Queimadas","reservatorio","PB",4.88,31.2
807715.5,"Itapicuru",4.23,2017-03-06,"BAHIA","ANA",80.77,12362,"Senhor do Bonfim / Andorinha","Quicé","Quice",9446.97,"Açude Quicé","Acude Quice","reservatorio","BA",1.38,32.6
336932.06,"Alto Jaguaribe",4.33,2017-03-14,"CEARÁ","ANA",33.69,12363,"Acopiara","Quincoé","Quincoe",6708.33,"Açude Quincoé","Acude Quincoe","reservatorio","CE",0.02,0.5
1297911.74,"Salgado",31.78,2017-03-03,"CEARÁ","ANA",129.79,12364,"Mauriti","Quixabinha","Quixabinha",15368.94,"Açude Quixabinha","Acude Quixabinha","reservatorio","CE",0.48,1.5
2136764.61,"Banabuiú",54,2017-03-16,"CEARÁ","ANA",213.68,12365,"Quixeramobim","Quixeramobim","Quixeramobim",17281.75,"Açude Quixeramobim","Acude Quixeramobim","reservatorio","CE",0,0
204155.06,"Brígida",1.04,2016-11-16,"PERNAMBUCO","ANA",20.42,12366,"Araripina","Rancharia","Rancharia",2272.54,"Açude Rancharia","Acude Rancharia","reservatorio","PE",0.01,0.8
4421959.24,"Parnaíba-CE",31.55,2017-03-18,"CEARÁ","ANA",442.2,12367,"Crateús","Realejo","Realejo",25840.77,"Açude Realejo","Acude Realejo","reservatorio","CE",1.11,3.5
424743.44,"São Francisco",1.7,2017-03-08,"ALAGOAS","ANA",42.47,12368,"Palestina","Retiro","Retiro",5041.88,"Açude Retiro","Acude Retiro","reservatorio","AL",0.96,56.5
639956.23,"Apodi/Mossoró",9.6,2017-03-15,"RIO GRANDE DO NORTE","GOVERNO RN",64,12370,"Riacho da Cruz","Riacho da Cruz II","Riacho da Cruz II",5589.32,"Açude Riacho da Cruz II","Acude Riacho da Cruz II","reservatorio","RN",4.29,44.7
